"CVEGEO","NOM_ENT","NOM_MUN","Poblacion_total","Poblacion_total_Femenina","Poblacion_total_Femenina_11A17","Poblacion_total_Femenina_18A20","Poblacion_total_Femenina_11A20","Conteo_nacimientos","Porcentaje_nacimientos","Porcentaje_libre","area"
29026,"Tlaxcala","Santa Cruz Tlaxcala",24124,12510,1580,622,2202,31,1.4078110808356,98.5921889191644,25967073.5257051
29027,"Tlaxcala","Tenancingo",12975,6664,822,330,1152,34,2.95138888888889,97.0486111111111,12562708.7790618
29028,"Tlaxcala","Teolocholco",25285,12878,1687,678,2365,51,2.15644820295983,97.8435517970402,76757343.0738484
29029,"Tlaxcala","Tepeyanco",13331,6969,813,361,1174,24,2.0442930153322,97.9557069846678,16546051.5817934
29030,"Tlaxcala","Terrenate",15541,7775,1135,460,1595,45,2.82131661442006,97.1786833855799,155130477.590677
29031,"Tlaxcala","Tetla de la Solidaridad",35414,18017,2243,973,3216,28,0.870646766169154,99.1293532338308,170322400.577253
29032,"Tlaxcala","Tetlatlahuca",13569,7033,806,352,1158,32,2.76338514680484,97.2366148531952,26218611.923318
29033,"Tlaxcala","Tlaxcala",99899,52632,5405,2437,7842,94,1.19867380770212,98.8013261922979,52102360.690937
29034,"Tlaxcala","Tlaxco",45629,23297,2973,1195,4168,135,3.23896353166987,96.7610364683301,577279693.145193
29035,"Tlaxcala","Tocatlán",6300,3170,396,147,543,14,2.57826887661142,97.4217311233886,14295055.554339
29036,"Tlaxcala","Totolac",22529,11801,1283,575,1858,27,1.45317545748116,98.5468245425188,13885401.0133775
29037,"Tlaxcala","Ziltlaltépec de Trinidad Sánchez Santos",9212,4763,612,282,894,29,3.24384787472036,96.7561521252796,77325356.6823057
29038,"Tlaxcala","Tzompantepec",18021,9263,1138,524,1662,40,2.40673886883273,97.5932611311673,38518387.5367166
29039,"Tlaxcala","Xaloztoc",25642,12857,1657,740,2397,59,2.46141009595327,97.5385899040467,41636463.5927311
29040,"Tlaxcala","Xaltocan",10629,5576,673,293,966,18,1.86335403726708,98.1366459627329,103110677.807435
29041,"Tlaxcala","Papalotla de Xicohténcatl",33511,17314,2055,901,2956,32,1.08254397834912,98.9174560216509,22855753.6967518
29042,"Tlaxcala","Xicohtzinco",14197,7435,805,347,1152,30,2.60416666666667,97.3958333333333,7803639.67184148
29043,"Tlaxcala","Yauhquemehcan",42264,21850,2457,1056,3513,57,1.62254483347566,98.3774551665243,37507250.5788379
29044,"Tlaxcala","Zacatelco",45722,23775,2602,1182,3784,90,2.3784355179704,97.6215644820296,29587135.5126276
29045,"Tlaxcala","Benito Juárez",6222,3248,445,180,625,14,2.24,97.76,26006576.3150014
29046,"Tlaxcala","Emiliano Zapata",4967,2507,371,148,519,21,4.04624277456647,95.9537572254335,50239399.2490034
29047,"Tlaxcala","Lázaro Cárdenas",3544,1789,243,87,330,6,1.81818181818182,98.1818181818182,25518698.8011376
29048,"Tlaxcala","La Magdalena Tlaltelulco",19036,9596,129,51,180,56,31.1111111111111,68.8888888888889,11864261.6134367
29049,"Tlaxcala","San Damián Texóloc",5884,2957,309,144,453,16,3.53200883002207,96.4679911699779,10238442.2851763
29050,"Tlaxcala","San Francisco Tetlanohcan",11764,6114,747,311,1058,35,3.30812854442344,96.6918714555766,42019731.471406
29051,"Tlaxcala","San Jerónimo Zacualpan",4097,2150,233,93,326,1,0.306748466257669,99.6932515337423,7809647.31782556
