"CVEGEO","NOM_ENT","NOM_MUN","Poblacion_total","Poblacion_total_Femenina","Poblacion_total_Femenina_11A17","Poblacion_total_Femenina_18A20","Poblacion_total_Femenina_11A20","Conteo_nacimientos","Porcentaje_nacimientos","Porcentaje_libre","area"
1001,"Aguascalientes","Aguascalientes",949902,486550,56207,24461,80668,2269,2.81276342539793,97.1872365746021,1176169370.64883
1002,"Aguascalientes","Asientos",51779,26217,3807,1549,5356,204,3.80881254667662,96.1911874533234,549483484.782346
1003,"Aguascalientes","Calvillo",58423,29665,3824,1585,5409,132,2.44037714919578,97.5596228508042,947995088.13744
1004,"Aguascalientes","Cosío",17130,8684,1159,528,1687,72,4.2679312388856,95.7320687611144,130069159.642492
1005,"Aguascalientes","Jesús María",130165,65612,8831,3740,12571,336,2.67281839153608,97.3271816084639,558333958.118474
1006,"Aguascalientes","Pabellón de Arteaga",48004,24163,3276,1417,4693,197,4.19774131685489,95.8022586831451,200247876.480037
1007,"Aguascalientes","Rincón de Romos",57906,29104,3966,1691,5657,202,3.57079724235461,96.4292027576454,376816150.934697
1008,"Aguascalientes","San José de Gracia",9579,5009,654,285,939,24,2.55591054313099,97.444089456869,802472565.230187
1009,"Aguascalientes","Tepezalá",22704,11344,1579,687,2266,80,3.53045013239188,96.4695498676081,232659314.489157
1010,"Aguascalientes","El Llano",21579,10345,1359,567,1926,37,1.92107995846314,98.0789200415369,516495239.523358
1011,"Aguascalientes","San Francisco de los Romo",62133,31218,4588,1747,6335,233,3.67797947908445,96.3220205209155,139548573.65923
2001,"Baja California","Ensenada",446399,221783,24312,10296,34608,1024,2.95885344429034,97.0411465557097,13552612137.6303
2002,"Baja California","Mexicali",1053123,519420,58439,24986,83425,2109,2.52801917890321,97.4719808210968,9962368714.9196
2003,"Baja California","Tecate",109372,51019,6056,2470,8526,355,4.16373445930096,95.836265540699,2862846540.25818
2004,"Baja California","Tijuana",1923220,953595,108419,45398,153817,4768,3.09978740971414,96.9002125902859,1076917254.25091
2005,"Baja California","Playas de Rosarito",127216,62387,7350,3233,10583,380,3.59066427289048,96.4093357271095,507022602.748542
2006,"Baja California","San Quintín",118355,57581,7826,3230,11056,485,4.38675832127352,95.6132416787265,34147446369.0577
2007,"Baja California","San Felipe",NA,NA,NA,NA,NA,53,NA,NA,11019047645.8593
3001,"Baja California Sur","Comondú",74365,36061,4344,1995,6339,185,2.91844139454173,97.0815586054583,17737579415.9229
3002,"Baja California Sur","Mulegé",64860,30811,3896,1593,5489,183,3.33394060848971,96.6660593915103,30840209607.4776
3003,"Baja California Sur","La Paz",294115,146036,15686,6734,22420,427,1.90454950936664,98.0954504906334,15479000400.7544
3008,"Baja California Sur","Los Cabos",352356,170031,21528,8345,29873,900,3.01275399189904,96.987246008101,3564608111.40216
3009,"Baja California Sur","Loreto",18340,8749,1082,451,1533,57,3.71819960861057,96.2818003913894,4540869471.79387
4001,"Campeche","Calkiní",59347,30051,3567,1408,4975,72,1.44723618090452,98.5527638190955,1735372178.78123
4002,"Campeche","Campeche",294772,152495,15311,6727,22038,419,1.90126145748253,98.0987385425175,3246984730.94071
4003,"Campeche","Carmen",250565,125491,13812,5661,19473,621,3.18903096595286,96.8109690340471,8598180131.11665
4004,"Campeche","Champotón",78690,39089,5168,2120,7288,352,4.82985729967069,95.1701427003293,6592393011.65637
4005,"Campeche","Hecelchakán",31940,16191,2006,798,2804,71,2.5320970042796,97.4679029957204,1278618097.92795
4006,"Campeche","Hopelchén",42262,20801,3001,1184,4185,176,4.20549581839904,95.794504181601,7803253604.04256
4007,"Campeche","Palizada",8896,4193,584,207,791,32,4.04551201011378,95.9544879898862,2194014345.55144
4008,"Campeche","Tenabo",11494,5655,742,280,1022,26,2.5440313111546,97.4559686888454,1061515763.22484
4009,"Campeche","Escárcega",60490,30380,4218,1611,5829,219,3.75707668553783,96.2429233144622,4798240135.16444
4010,"Campeche","Calakmul",31982,15557,2452,947,3399,172,5.06031185642836,94.9396881435716,14031568456.0334
4011,"Campeche","Candelaria",48215,23046,3422,1239,4661,334,7.1658442394336,92.8341557605664,5687651654.28675
4012,"Campeche","Seybaplaya",15332,7656,860,340,1200,50,4.16666666666667,95.8333333333333,290549922.922423
4013,"Campeche","Dzitbalché",NA,NA,NA,NA,NA,25,NA,NA,367237427.57621
5001,"Coahuila de Zaragoza","Abasolo",1051,478,44,17,61,1,1.63934426229508,98.3606557377049,744412496.661267
5002,"Coahuila de Zaragoza","Acuña",163407,81080,10140,4376,14516,534,3.67869936621659,96.3213006337834,11478255655.8368
5003,"Coahuila de Zaragoza","Allende",23156,11608,1425,553,1978,42,2.12335692618807,97.8766430738119,252013828.710416
5004,"Coahuila de Zaragoza","Arteaga",30410,14420,1661,645,2306,72,3.12228967909801,96.877710320902,1638652815.59771
5005,"Coahuila de Zaragoza","Candela",1653,800,85,46,131,2,1.52671755725191,98.4732824427481,2122525105.88552
5006,"Coahuila de Zaragoza","Castaños",29257,14516,1780,730,2510,88,3.50597609561753,96.4940239043825,3349067444.56377
5007,"Coahuila de Zaragoza","Cuatro Ciénegas",12858,6330,743,316,1059,48,4.53257790368272,95.4674220963173,10691285808.6762
5008,"Coahuila de Zaragoza","Escobedo",3074,1514,203,68,271,4,1.4760147601476,98.5239852398524,1026606903.12276
5009,"Coahuila de Zaragoza","Francisco I. Madero",59191,29781,3645,1522,5167,202,3.9094251983743,96.0905748016257,2815262079.05124
5010,"Coahuila de Zaragoza","Frontera",82458,41184,4945,2023,6968,183,2.62629161882893,97.3737083811711,458250647.548176
5011,"Coahuila de Zaragoza","General Cepeda",12104,5768,749,295,1044,27,2.58620689655172,97.4137931034483,2646150737.74025
5012,"Coahuila de Zaragoza","Guerrero",1811,735,88,37,125,4,3.2,96.8,2931142883.06236
5013,"Coahuila de Zaragoza","Hidalgo",1771,836,123,49,172,5,2.90697674418605,97.093023255814,1131558141.01802
5014,"Coahuila de Zaragoza","Jiménez",9850,4607,579,249,828,23,2.77777777777778,97.2222222222222,2203869227.76578
5015,"Coahuila de Zaragoza","Juárez",1635,783,91,29,120,2,1.66666666666667,98.3333333333333,2462044032.97366
5016,"Coahuila de Zaragoza","Lamadrid",1785,836,87,34,121,3,2.47933884297521,97.5206611570248,674505949.630247
5017,"Coahuila de Zaragoza","Matamoros",118777,59577,7509,3370,10879,291,2.67487820571744,97.3251217942826,807647244.550501
5018,"Coahuila de Zaragoza","Monclova",238108,119842,13366,5558,18924,519,2.7425491439442,97.2574508560558,1253693070.18281
5019,"Coahuila de Zaragoza","Morelos",8022,3971,517,220,737,14,1.89959294436906,98.1004070556309,640089607.975328
5020,"Coahuila de Zaragoza","Múzquiz",72060,35745,4308,1742,6050,216,3.5702479338843,96.4297520661157,8300477185.49801
5021,"Coahuila de Zaragoza","Nadadores",6613,3290,440,130,570,12,2.10526315789474,97.8947368421053,717777059.527097
5022,"Coahuila de Zaragoza","Nava",33287,16497,2170,826,2996,87,2.90387182910547,97.0961281708945,909235091.061054
5023,"Coahuila de Zaragoza","Ocampo",9816,4639,643,244,887,41,4.62232243517475,95.3776775648252,26064398277.6622
5024,"Coahuila de Zaragoza","Parras",44681,21900,2452,1098,3550,144,4.05633802816901,95.943661971831,10641831710.7427
5025,"Coahuila de Zaragoza","Piedras Negras",176450,87503,10694,4506,15200,353,2.32236842105263,97.6776315789474,475081456.757037
5026,"Coahuila de Zaragoza","Progreso",3279,1605,188,72,260,5,1.92307692307692,98.0769230769231,2891234010.26107
5027,"Coahuila de Zaragoza","Ramos Arizpe",123684,59463,7553,2880,10433,359,3.44100450493626,96.5589954950637,6767384219.70123
5028,"Coahuila de Zaragoza","Sabinas",64964,32569,3731,1539,5270,181,3.43453510436433,96.5654648956357,1979325029.61275
5029,"Coahuila de Zaragoza","Sacramento",2494,1225,148,54,202,7,3.46534653465347,96.5346534653465,289864208.463537
5030,"Coahuila de Zaragoza","Saltillo",880435,442092,50015,21585,71600,1662,2.32122905027933,97.6787709497207,5631284199.3755
5031,"Coahuila de Zaragoza","San Buenaventura",24929,12460,1440,564,2004,93,4.64071856287425,95.3592814371257,6453096104.61695
5032,"Coahuila de Zaragoza","San Juan de Sabinas",42380,21329,2303,977,3280,84,2.5609756097561,97.4390243902439,803620028.474266
5033,"Coahuila de Zaragoza","San Pedro",101548,51058,6664,2760,9424,346,3.67147707979627,96.3285229202037,7157392309.1104
5034,"Coahuila de Zaragoza","Sierra Mojada",6826,3183,467,132,599,7,1.1686143572621,98.8313856427379,7934627494.07015
5035,"Coahuila de Zaragoza","Torreón",720913,369090,40731,17521,58252,1525,2.61793586486301,97.382064135137,1285387671.75508
5036,"Coahuila de Zaragoza","Viesca",20397,10069,1351,611,1962,71,3.61875637104995,96.38124362895,4410781243.93021
5037,"Coahuila de Zaragoza","Villa Unión",6286,3049,389,160,549,22,4.00728597449909,95.9927140255009,1857329765.70972
5038,"Coahuila de Zaragoza","Zaragoza",13429,6541,856,313,1169,44,3.76390076988879,96.2360992301112,7949615358.56062
6001,"Colima","Armería",27807,13675,1751,693,2444,74,3.0278232405892,96.9721767594108,420573892.102203
6002,"Colima","Colima",157391,80850,8282,3669,11951,308,2.57719019328926,97.4228098067107,747738871.293494
6003,"Colima","Comala",21833,10725,1170,547,1717,40,2.3296447291788,97.6703552708212,314953735.430406
6004,"Colima","Coquimatlán",21048,10334,1212,538,1750,37,2.11428571428571,97.8857142857143,501431082.79333
6005,"Colima","Cuauhtémoc",31405,15509,1745,809,2554,53,2.07517619420517,97.9248238057948,413275613.686895
6006,"Colima","Ixtlahuacán",5679,2731,322,116,438,13,2.96803652968037,97.0319634703196,377916206.441907
6007,"Colima","Manzanillo",191544,95864,11003,4661,15664,434,2.77068437180797,97.229315628192,1390182444.7385
6008,"Colima","Minatitlán",10274,4990,658,244,902,19,2.10643015521064,97.8935698447894,416148041.753435
6009,"Colima","Tecomán",117412,58310,7626,2957,10583,422,3.98752716620996,96.01247283379,930433987.23854
6010,"Colima","Villa de Álvarez",149856,77387,8003,3536,11539,187,1.62059103908484,98.3794089609152,288335917.937141
7001,"Chiapas","Acacoyagua",18160,8950,1345,483,1828,122,6.67396061269147,93.3260393873085,248917724.894266
7002,"Chiapas","Acala",21362,10717,1526,542,2068,108,5.22243713733075,94.7775628626692,305604582.03701
7003,"Chiapas","Acapetahua",27314,13630,1785,640,2425,135,5.56701030927835,94.4329896907217,562228575.709478
7004,"Chiapas","Altamirano",36287,18082,2942,1167,4109,444,10.8055487953273,89.1944512046727,958338600.672723
7005,"Chiapas","Amatán",24568,12170,2030,747,2777,66,2.37666546633057,97.6233345336694,316970160.992274
7006,"Chiapas","Amatenango de la Frontera",31755,16303,2577,880,3457,163,4.71507087069714,95.2849291293029,254457032.585031
7007,"Chiapas","Amatenango del Valle",11288,5905,970,394,1364,141,10.3372434017595,89.6627565982405,152612865.22313
7008,"Chiapas","Ángel Albino Corzo",32062,15991,2463,947,3410,165,4.83870967741935,95.1612903225806,582922704.801153
7009,"Chiapas","Arriaga",41656,21090,2577,1121,3698,151,4.08328826392645,95.9167117360736,810525294.160328
7010,"Chiapas","Bejucal de Ocampo",7379,3713,631,228,859,31,3.60884749708964,96.3911525029104,78999184.946639
7011,"Chiapas","Bella Vista",20184,10144,1654,619,2273,42,1.84777826660801,98.152221733392,214474371.154145
7012,"Chiapas","Berriozábal",65284,32554,4691,1757,6448,453,7.02543424317618,92.9745657568238,353153830.020117
7013,"Chiapas","Bochil",37263,19049,2938,1134,4072,117,2.87328094302554,97.1267190569745,366424858.815796
7014,"Chiapas","El Bosque",24313,12543,2109,806,2915,268,9.19382504288165,90.8061749571184,159685985.88496
7015,"Chiapas","Cacahoatán",50170,25644,3500,1508,5008,473,9.44488817891374,90.5551118210863,174780205.80234
7016,"Chiapas","Catazajá",17956,8686,1066,418,1484,47,3.16711590296496,96.832884097035,631766751.450704
7017,"Chiapas","Cintalapa de Figueroa",89226,43926,5998,2318,8316,443,5.32708032708033,94.6729196729197,2448754822.07777
7018,"Chiapas","Coapilla",9917,5022,762,275,1037,43,4.14657666345227,95.8534233365477,155525922.046831
7019,"Chiapas","Comitán de Domínguez",166510,86617,10987,4637,15624,497,3.18100358422939,96.8189964157706,981198708.267883
7020,"Chiapas","La Concordia",51028,24367,3506,1341,4847,213,4.39447080668455,95.6055291933154,2580754954.03911
7021,"Chiapas","Copainalá",22321,11321,1529,676,2205,76,3.44671201814059,96.5532879818594,347566459.906432
7022,"Chiapas","Chalchihuitán",21915,11042,2129,752,2881,277,9.61471711211385,90.3852828878861,185909495.117023
7023,"Chiapas","Chamula",101970,55017,9599,3504,13103,762,5.81546210791422,94.1845378920858,345765604.761282
7024,"Chiapas","Chanal",13678,6944,1469,495,1964,141,7.17922606924644,92.8207739307536,408068658.784639
7025,"Chiapas","Chapultenango",7496,3737,534,273,807,23,2.85006195786865,97.1499380421314,182022787.539579
7026,"Chiapas","Chenalhó",47374,24168,4427,1595,6022,610,10.129525074726,89.870474925274,252167707.879995
7027,"Chiapas","Chiapa de Corzo",112727,56763,7515,2993,10508,270,2.56947087933003,97.43052912067,791702768.536643
7028,"Chiapas","Chiapilla",6160,3048,412,147,559,27,4.83005366726297,95.169946332737,51577717.2864415
7029,"Chiapas","Chicoasén",5409,2701,344,166,510,15,2.94117647058824,97.0588235294118,115721247.967278
7030,"Chiapas","Chicomuselo",37002,18564,2820,1075,3895,178,4.56996148908858,95.4300385109114,999530357.274019
7031,"Chiapas","Chilón",137345,69873,13529,4787,18316,1012,5.52522384800175,94.4747761519983,1680053155.158
7032,"Chiapas","Escuintla",31121,15644,2261,893,3154,142,4.50221940393152,95.4977805960685,418367212.034908
7033,"Chiapas","Francisco León",7260,3572,610,231,841,27,3.21046373365042,96.7895362663496,210787666.485159
7034,"Chiapas","Frontera Comalapa",81131,41613,5821,2334,8155,444,5.44451256897609,94.5554874310239,767140943.552139
7035,"Chiapas","Frontera Hidalgo",14656,7380,957,405,1362,504,37.0044052863436,62.9955947136564,94382522.8919892
7036,"Chiapas","La Grandeza",7711,3936,679,255,934,35,3.74732334047109,96.2526766595289,48862631.414347
7037,"Chiapas","Huehuetán",36404,18610,2442,975,3417,355,10.3892303189933,89.6107696810067,304260464.918923
7038,"Chiapas","Huixtán",22975,11711,2011,785,2796,165,5.90128755364807,94.0987124463519,311825340.595746
7039,"Chiapas","Huitiupán",27930,13882,2336,883,3219,144,4.47343895619758,95.5265610438024,340226184.681809
7040,"Chiapas","Huixtla",53666,27104,3634,1464,5098,118,2.31463318948607,97.6853668105139,397564601.430109
7041,"Chiapas","La Independencia",46462,23827,3259,1331,4590,215,4.68409586056645,95.3159041394336,516002558.012065
7042,"Chiapas","Ixhuatán",11418,5831,1001,336,1337,59,4.41286462228871,95.5871353777113,94676219.0413116
7043,"Chiapas","Ixtacomitán",11014,5527,808,308,1116,51,4.56989247311828,95.4301075268817,125662388.641261
7044,"Chiapas","Ixtapa",29055,14697,2162,875,3037,51,1.67928877181429,98.3207112281857,280018722.690084
7045,"Chiapas","Ixtapangajoya",6296,3151,411,201,612,38,6.20915032679739,93.7908496732026,107595467.744608
7046,"Chiapas","Jiquipilas",41801,20539,2725,1043,3768,170,4.51167728237792,95.4883227176221,1305754905.64763
7047,"Chiapas","Jitotol",24985,12533,2146,740,2886,109,3.77685377685378,96.2231462231462,236039104.916275
7048,"Chiapas","Juárez",21807,11035,1412,563,1975,80,4.05063291139241,95.9493670886076,745211156.144714
7049,"Chiapas","Larráinzar",31259,16055,3003,1025,4028,250,6.20655412115194,93.7934458788481,149293025.7652
7050,"Chiapas","La Libertad",5327,2603,291,126,417,31,7.43405275779376,92.5659472422062,458097814.369038
7051,"Chiapas","Mapastepec",47427,23172,3173,1238,4411,292,6.61981410111086,93.3801858988891,1224642093.94169
7052,"Chiapas","Las Margaritas",141358,72056,11427,4530,15957,832,5.21401265902112,94.7859873409789,3025712477.90635
7053,"Chiapas","Mazapa de Madero",7912,3994,672,255,927,71,7.65911542610572,92.3408845738943,110689234.756439
7054,"Chiapas","Mazatán",28388,14189,1867,714,2581,177,6.85780705153041,93.1421929484696,384927494.390284
7055,"Chiapas","Metapa",5879,3119,379,153,532,136,25.5639097744361,74.4360902255639,22838147.8355075
7056,"Chiapas","Mitontic",13755,7022,1309,491,1800,250,13.8888888888889,86.1111111111111,36658151.9115087
7057,"Chiapas","Motozintla",76655,38920,6223,2487,8710,259,2.9735935706085,97.0264064293915,586391381.077737
7058,"Chiapas","Nicolás Ruíz",4765,2325,377,185,562,41,7.29537366548043,92.7046263345196,29628785.510105
7059,"Chiapas","Ocosingo",236083,118194,21201,7862,29063,2034,6.99858927158242,93.0014107284176,9612553139.5206
7060,"Chiapas","Ocotepec",14088,7209,1375,517,1892,100,5.28541226215645,94.7145877378435,61341526.6334202
7061,"Chiapas","Ocozocoautla de Espinosa",98892,48924,7297,2820,10117,430,4.2502718197094,95.7497281802906,2090934829.14975
7062,"Chiapas","Ostuacán",18565,9238,1411,504,1915,15,0.783289817232376,99.2167101827676,599952901.452478
7063,"Chiapas","Osumacinta",3996,1995,281,110,391,16,4.0920716112532,95.9079283887468,92607362.7538722
7064,"Chiapas","Oxchuc",54937,27397,5428,1813,7241,382,5.27551443170833,94.7244855682917,417870742.139328
7065,"Chiapas","Palenque",133244,66965,9852,3937,13789,724,5.25056204220756,94.7494379577924,2897455990.56655
7066,"Chiapas","Pantelhó",26435,13415,2602,915,3517,196,5.57293147568951,94.4270685243105,193181563.632656
7067,"Chiapas","Pantepec",12296,6210,1035,420,1455,83,5.70446735395189,94.2955326460481,106025310.256286
7068,"Chiapas","Pichucalco",31961,16243,2075,843,2918,73,2.5017135023989,97.4982864976011,595089319.517642
7069,"Chiapas","Pijijiapan",52981,25732,3472,1332,4804,256,5.32889258950874,94.6711074104913,1763495694.65165
7070,"Chiapas","El Porvenir",12263,6155,1079,409,1488,69,4.63709677419355,95.3629032258064,82953501.6279077
7071,"Chiapas","Villa Comaltitlán",30421,14679,2047,836,2883,209,7.24939299340964,92.7506070065904,447049774.126637
7072,"Chiapas","Pueblo Nuevo Solistahuacán",29654,15165,2617,997,3614,220,6.087437742114,93.912562257886,178265184.650818
7073,"Chiapas","Rayón",10904,5504,924,384,1308,55,4.20489296636086,95.7951070336391,65159267.1378502
7074,"Chiapas","Reforma",44829,22921,3246,1222,4468,182,4.0734109221128,95.9265890778872,436300438.378473
7075,"Chiapas","Las Rosas",28977,14653,2145,824,2969,166,5.59110811721118,94.4088918827888,235612776.255523
7076,"Chiapas","Sabanilla",29896,14963,2363,920,3283,179,5.45233018580567,94.5476698141943,250776520.536718
7077,"Chiapas","Salto de Agua",64515,32295,5273,1999,7272,330,4.53795379537954,95.4620462046205,1237395039.31941
7078,"Chiapas","San Cristóbal de las Casas",215883,113570,14715,6299,21014,438,2.08432473589036,97.9156752641096,395506109.65147
7079,"Chiapas","San Fernando",42017,20862,2953,1139,4092,257,6.28054740957967,93.7194525904203,360744399.699387
7080,"Chiapas","Siltepec",25949,12911,2132,861,2993,179,5.98062145005012,94.0193785499499,385895449.019806
7081,"Chiapas","Simojovel",52985,27016,4832,1732,6564,326,4.96648385131018,95.0335161486898,314988354.062405
7082,"Chiapas","Sitalá",15548,7847,1571,546,2117,216,10.2031176192726,89.7968823807274,105754429.582613
7083,"Chiapas","Socoltenango",19179,9647,1274,467,1741,75,4.30786904078116,95.6921309592188,634930629.860549
7084,"Chiapas","Solosuchiapa",8621,4193,655,255,910,50,5.49450549450549,94.5054945054945,156842091.931641
7085,"Chiapas","Soyaló",10897,5418,811,326,1137,84,7.38786279683377,92.6121372031662,96406451.0851016
7086,"Chiapas","Suchiapa",25821,12818,1746,679,2425,21,0.865979381443299,99.1340206185567,284848604.558211
7087,"Chiapas","Suchiate",41894,21138,2890,1188,4078,319,7.82246199117214,92.1775380088279,237085305.701639
7088,"Chiapas","Sunuapa",2313,1127,169,46,215,12,5.58139534883721,94.4186046511628,78591819.3778801
7089,"Chiapas","Tapachula",354260,181909,21880,9155,31035,1839,5.92556790720155,94.0744320927984,984794947.103894
7090,"Chiapas","Tapalapa",4555,2335,371,143,514,16,3.11284046692607,96.8871595330739,66317851.6193147
7091,"Chiapas","Tapilula",13620,7001,1027,431,1458,70,4.80109739368999,95.19890260631,37546858.002318
7092,"Chiapas","Tecpatán",21652,10682,1454,624,2078,95,4.57170356111646,95.4282964388835,523386344.865092
7093,"Chiapas","Tenejapa",48166,24852,4647,1582,6229,455,7.30454326537165,92.6954567346284,193107993.018121
7094,"Chiapas","Teopisca",49570,25536,4313,1627,5940,326,5.48821548821549,94.5117845117845,284471408.591625
7096,"Chiapas","Tila",83518,41796,6129,2280,8409,581,6.90926388393388,93.0907361160661,803895603.232459
7097,"Chiapas","Tonalá",93142,46342,5843,2500,8343,459,5.50161812297735,94.4983818770227,1860200372.06996
7098,"Chiapas","Totolapa",7240,3564,501,216,717,56,7.81032078103208,92.1896792189679,169102300.064508
7099,"Chiapas","La Trinitaria",83557,42802,5894,2242,8136,366,4.49852507374631,95.5014749262537,1608463510.13274
7100,"Chiapas","Tumbalá",38045,19485,3224,1136,4360,190,4.35779816513761,95.6422018348624,403522730.485022
7101,"Chiapas","Tuxtla Gutiérrez",604313,316578,33061,14748,47809,1092,2.28408876989688,97.7159112301031,336009987.933849
7102,"Chiapas","Tuxtla Chico",41032,21231,2693,1152,3845,78,2.02860858257477,97.9713914174252,166444836.412371
7103,"Chiapas","Tuzantán",30406,15366,2193,865,3058,181,5.91890124264225,94.0810987573578,174868906.41498
7104,"Chiapas","Tzimol",16703,8392,1106,418,1524,117,7.67716535433071,92.3228346456693,359426550.333137
7105,"Chiapas","Unión Juárez",16038,8154,1087,462,1549,59,3.80890897353131,96.1910910264687,62257758.0012392
7106,"Chiapas","Venustiano Carranza",67799,33613,4784,1896,6680,372,5.5688622754491,94.4311377245509,1364652820.90544
7107,"Chiapas","Villa Corzo",68386,32324,4390,1604,5994,289,4.82148815482149,95.1785118451785,2395276813.54179
7108,"Chiapas","Villaflores",112136,55051,7152,2870,10022,220,2.19517062462582,97.8048293753742,1905908007.101
7109,"Chiapas","Yajalón",40384,20637,3161,1211,4372,230,5.26075022872827,94.7392497712717,209958864.712092
7110,"Chiapas","San Lucas",7536,3734,628,220,848,60,7.07547169811321,92.9245283018868,94354645.420115
7111,"Chiapas","Zinacantán",45373,24258,4059,1597,5656,277,4.8974540311174,95.1025459688826,195263759.601912
7112,"Chiapas","San Juan Cancuc",37948,19431,3885,1301,5186,374,7.21172387196298,92.788276128037,173620129.785687
7113,"Chiapas","Aldama",8480,4429,909,309,1218,60,4.92610837438424,95.0738916256158,26899440.5719814
7114,"Chiapas","Benemérito de las Américas",23686,11780,1916,730,2646,186,7.02947845804989,92.9705215419501,1096700438.80241
7115,"Chiapas","Maravilla Tenejapa",14720,7380,1345,470,1815,112,6.17079889807163,93.8292011019284,544722062.441413
7116,"Chiapas","Marqués de Comillas",12893,6394,1103,431,1534,155,10.1043024771838,89.8956975228162,912406087.630735
7117,"Chiapas","Montecristo de Guerrero",8478,4183,715,215,930,40,4.3010752688172,95.6989247311828,198594333.285238
7118,"Chiapas","San Andrés Duraznal",6047,3112,593,189,782,66,8.43989769820972,91.5601023017903,38463927.4770507
7119,"Chiapas","Santiago el Pinar",4969,2504,479,166,645,58,8.9922480620155,91.0077519379845,16591140.4926171
7120,"Chiapas","Capitán Luis Ángel Vidal",4355,2017,363,144,507,12,2.36686390532544,97.6331360946746,226205537.675163
7121,"Chiapas","Rincón Chamula San Pedro",8718,4691,852,316,1168,60,5.13698630136986,94.8630136986301,78255423.5848218
7122,"Chiapas","El Parral",15809,7960,1086,409,1495,62,4.14715719063545,95.8528428093645,371190147.865247
7123,"Chiapas","Emiliano Zapata",10916,5371,732,271,1003,71,7.07876370887338,92.9212362911266,218953535.483562
7124,"Chiapas","Mezcalapa",24151,12052,1848,780,2628,146,5.55555555555556,94.4444444444444,749241695.250528
7125,"Chiapas","Honduras de la Sierra",11672,5738,1024,370,1394,49,3.51506456241033,96.4849354375897,267996444.624654
8001,"Chihuahua","Ahumada",14999,7199,982,337,1319,27,2.0470053070508,97.9529946929492,16927666062.1687
8002,"Chihuahua","Aldama",26356,13180,1630,665,2295,94,4.0958605664488,95.9041394335512,9228479318.59458
8003,"Chihuahua","Allende",8638,4201,442,178,620,14,2.25806451612903,97.741935483871,2136776326.78448
8004,"Chihuahua","Aquiles Serdán",24366,10649,1448,561,2009,79,3.93230462916874,96.0676953708313,496098159.409844
8005,"Chihuahua","Ascensión",26402,12841,1889,783,2672,148,5.53892215568862,94.4610778443114,12870928980.7271
8006,"Chihuahua","Bachíniva",5927,2836,315,112,427,18,4.21545667447307,95.7845433255269,953461580.112479
8007,"Chihuahua","Balleza",16872,8073,1264,459,1723,102,5.91990713871155,94.0800928612884,5380048793.51564
8008,"Chihuahua","Batopilas de Manuel Gómez Morín",11655,5406,962,278,1240,129,10.4032258064516,89.5967741935484,2140819987.61882
8009,"Chihuahua","Bocoyna",23608,12154,1615,663,2278,188,8.25285338015803,91.747146619842,2710219713.39058
8010,"Chihuahua","Buenaventura",25216,12614,1724,717,2441,137,5.61245391233101,94.387546087669,7920827832.58115
8011,"Chihuahua","Camargo",50171,24955,2877,1263,4140,190,4.58937198067633,95.4106280193237,13767933089.8013
8012,"Chihuahua","Carichí",8441,3976,603,213,816,78,9.55882352941176,90.4411764705882,2594736667.17818
8013,"Chihuahua","Casas Grandes",12105,5750,768,340,1108,32,2.88808664259928,97.1119133574007,3759182749.7094
8014,"Chihuahua","Coronado",2125,962,116,47,163,5,3.06748466257669,96.9325153374233,1893461618.30827
8015,"Chihuahua","Coyame del Sotol",1265,580,65,23,88,1,1.13636363636364,98.8636363636364,11664649922.3978
8016,"Chihuahua","La Cruz",3728,1823,230,94,324,11,3.39506172839506,96.6049382716049,1054647534.04948
8017,"Chihuahua","Cuauhtémoc",181258,92036,11413,4829,16242,211,1.29910109592415,98.7008989040759,3613222821.84486
8018,"Chihuahua","Cusihuiriachi",5244,2402,294,113,407,14,3.43980343980344,96.5601965601966,1610561382.13554
8019,"Chihuahua","Chihuahua",938252,480298,49445,21845,71290,1615,2.26539486604012,97.7346051339599,8393097705.65205
8020,"Chihuahua","Chínipas",6344,2993,471,162,633,20,3.15955766192733,96.8404423380727,1993149404.18552
8021,"Chihuahua","Delicias",151186,76559,8825,3562,12387,351,2.83361588762412,97.1663841123759,533922571.267102
8022,"Chihuahua","Dr. Belisario Domínguez",2463,1208,111,52,163,3,1.84049079754601,98.159509202454,1034658518.89851
8023,"Chihuahua","Galeana",6741,3325,504,197,701,33,4.70756062767475,95.2924393723252,1731532315.92535
8024,"Chihuahua","Santa Isabel",3835,1912,204,82,286,9,3.14685314685315,96.8531468531469,670511210.412398
8025,"Chihuahua","Gómez Farías",7032,3558,412,172,584,25,4.28082191780822,95.7191780821918,854414997.422229
8026,"Chihuahua","Gran Morelos",2465,1194,105,33,138,1,0.72463768115942,99.2753623188406,486142263.173747
8027,"Chihuahua","Guachochi",51416,25248,4027,1479,5506,496,9.00835452233927,90.9916454776607,6984138133.66603
8028,"Chihuahua","Guadalupe",4339,2088,254,151,405,15,3.7037037037037,96.2962962962963,6000992859.91421
8029,"Chihuahua","Guadalupe y Calvo",51380,24759,4184,1461,5645,403,7.13906111603189,92.8609388839681,9637083041.12917
8030,"Chihuahua","Guazapares",8666,3844,613,193,806,57,7.07196029776675,92.9280397022332,1825897139.73282
8031,"Chihuahua","Guerrero",36226,17585,2162,900,3062,125,4.08229915088178,95.9177008491182,5738011591.79538
8032,"Chihuahua","Hidalgo del Parral",117099,60349,6821,2920,9741,268,2.75125757109126,97.2487424289087,1926861086.4116
